logg,logT,mass,tau,R
7.0,4.9,0.496,1.3E-4,0.03854
7.0,4.88,0.488,1.5E-4,0.038093
7.0,4.86,0.481,1.7E-4,0.037625
7.0,4.84,0.475,1.7E-4,0.037147
7.0,4.82,0.468,1.7E-4,0.036662
7.0,4.8,0.462,1.5E-4,0.036157
7.0,4.78,0.455,1.0E-4,0.035575
7.0,4.76,0.447,7.0E-5,0.035035
7.0,4.74,0.442,8.0E-5,0.034842
7.0,4.72,0.438,7.0E-5,0.034676
7.0,4.7,0.425,3.0E-5,0.034109
7.0,4.68,0.369,2.0E-5,0.031764
7.0,4.66,0.36,2.0E-5,0.031496
7.0,4.64,0.358,3.0E-5,0.031446
7.0,4.62,0.355,3.0E-5,0.031369
7.0,4.6,0.353,4.0E-5,0.031273
7.0,4.58,0.35,5.0E-5,0.031161
7.0,4.56,0.347,6.0E-5,0.031038
7.0,4.54,0.345,8.0E-5,0.030906
7.0,4.52,0.342,1.0E-4,0.030768
7.0,4.5,0.339,1.3E-4,0.030627
7.0,4.48,0.337,1.6E-4,0.030482
7.0,4.46,0.334,2.0E-4,0.030335
7.0,4.44,0.331,2.6E-4,0.030186
7.0,4.42,0.328,3.4E-4,0.030033
7.0,4.4,0.325,4.5E-4,0.029875
7.0,4.38,0.322,6.0E-4,0.029711
7.0,4.36,0.312,7.5E-4,0.029217
7.0,4.34,0.299,8.8E-4,0.02856
7.0,4.32,0.288,0.00104,0.028033
7.0,4.3,0.278,0.00122,0.027588
7.0,4.28,0.271,9.2E-4,0.02723
7.0,4.26,0.27,0.00118,0.027204
7.0,4.24,0.269,0.00155,0.027171
7.0,4.22,0.268,0.0021,0.027133
7.0,4.2,0.267,0.00306,0.027091
7.0,4.18,0.266,0.00532,0.027051
7.0,4.16,0.265,0.01179,0.02702
7.0,4.14,0.264,0.02462,0.02699
7.0,4.12,0.264,0.04169,0.026958
7.0,4.1,0.263,0.0659,0.026927
7.0,4.08,0.262,0.10037,0.026881
7.0,4.06,0.261,0.14299,0.026815
7.0,4.04,0.26,0.19284,0.026734
7.0,4.02,0.258,0.25148,0.026633
7.0,4.0,0.255,0.32048,0.026516
7.0,3.98,0.253,0.39969,0.026402
7.0,3.96,0.251,0.4989,0.026268
7.0,3.94,0.248,0.62285,0.026129
7.0,3.92,0.246,0.78175,0.025986
7.0,3.9,0.243,0.99477,0.025842
7.0,3.88,0.241,1.26768,0.025702
7.0,3.86,0.239,1.48492,0.025586
7.0,3.84,0.237,1.77572,0.025484
7.0,3.82,0.235,2.09025,0.025387
7.0,3.8,0.233,2.42455,0.025287
7.0,3.78,0.231,2.75717,0.025182
7.0,3.76,0.229,3.06224,0.025066
7.0,3.74,0.226,3.32958,0.024925
7.0,3.72,0.223,3.5566,0.024737
7.0,3.7,0.219,3.73545,0.024468
7.0,3.68,0.213,3.88809,0.024137
7.0,3.66,0.208,4.016,0.02382
7.0,3.64,0.203,4.31683,0.023545
7.0,3.62,0.199,4.68716,0.023341
7.0,3.6,0.197,5.08568,0.023194
7.0,3.58,0.195,5.5038,0.023082
7.0,3.56,0.194,5.90867,0.023008
7.0,3.54,0.193,6.3732,0.022942
7.0,3.52,0.191,6.90827,0.022874
7.0,3.5,0.19,7.48264,0.022816
7.0,3.48,0.19,8.05686,0.022774
7.0,3.46,0.189,8.68108,0.022736
7.0,3.44,0.188,9.33955,0.022705
7.0,3.42,0.188,10.06883,0.022676
7.0,3.4,0.187,10.88807,0.022647
7.1,4.9,0.509,1.7E-4,0.034522
7.1,4.88,0.502,2.1E-4,0.034358
7.1,4.86,0.495,2.4E-4,0.034119
7.1,4.84,0.489,2.7E-4,0.033833
7.1,4.82,0.483,3.0E-4,0.033515
7.1,4.8,0.477,3.1E-4,0.033161
7.1,4.78,0.47,3.1E-4,0.03273
7.1,4.76,0.463,2.9E-4,0.0322
7.1,4.74,0.455,2.7E-4,0.031663
7.1,4.72,0.448,2.8E-4,0.03127
7.1,4.7,0.444,3.3E-4,0.031194
7.1,4.68,0.441,3.5E-4,0.031109
7.1,4.66,0.439,3.3E-4,0.03101
7.1,4.64,0.437,2.8E-4,0.030892
7.1,4.62,0.429,1.9E-4,0.030551
7.1,4.6,0.4,2.0E-4,0.029448
7.1,4.58,0.38,1.8E-4,0.028699
7.1,4.56,0.367,1.2E-4,0.028232
7.1,4.54,0.361,8.0E-5,0.028058
7.1,4.52,0.359,1.0E-4,0.028002
7.1,4.5,0.357,1.3E-4,0.027936
7.1,4.48,0.355,1.6E-4,0.027862
7.1,4.46,0.353,2.0E-4,0.027781
7.1,4.44,0.35,2.6E-4,0.027694
7.1,4.42,0.348,3.5E-4,0.027601
7.1,4.4,0.346,4.7E-4,0.027501
7.1,4.38,0.343,6.8E-4,0.027394
7.1,4.36,0.34,0.00114,0.027283
7.1,4.34,0.338,0.003,0.027166
7.1,4.32,0.335,0.00623,0.027038
7.1,4.3,0.331,0.01044,0.026902
7.1,4.28,0.328,0.01865,0.026738
7.1,4.26,0.319,0.06345,0.026328
7.1,4.24,0.311,0.07105,0.02597
7.1,4.22,0.304,0.0742,0.025708
7.1,4.2,0.299,0.07593,0.025493
7.1,4.18,0.295,0.07699,0.025313
7.1,4.16,0.292,0.07814,0.025163
7.1,4.14,0.289,0.08082,0.025041
7.1,4.12,0.287,0.08859,0.024955
7.1,4.1,0.285,0.10761,0.024903
7.1,4.08,0.284,0.13432,0.024838
7.1,4.06,0.281,0.16314,0.024747
7.1,4.04,0.279,0.19251,0.024638
7.1,4.02,0.276,0.21979,0.024508
7.1,4.0,0.273,0.24455,0.024365
7.1,3.98,0.27,0.28369,0.024248
7.1,3.96,0.268,0.36675,0.024165
7.1,3.94,0.266,0.46455,0.024078
7.1,3.92,0.264,0.58233,0.023988
7.1,3.9,0.262,0.7297,0.023894
7.1,3.88,0.26,0.91348,0.023801
7.1,3.86,0.258,1.09103,0.023715
7.1,3.84,0.256,1.35116,0.023623
7.1,3.82,0.254,1.66134,0.023534
7.1,3.8,0.252,2.02537,0.023447
7.1,3.78,0.25,2.43663,0.02336
7.1,3.76,0.248,2.88494,0.023267
7.1,3.74,0.246,3.38313,0.023157
7.1,3.72,0.243,3.96255,0.023014
7.1,3.7,0.239,4.70116,0.022823
7.1,3.68,0.235,5.0673,0.02261
7.1,3.66,0.231,5.43691,0.022395
7.1,3.64,0.227,5.91639,0.022202
7.1,3.62,0.224,6.44126,0.02205
7.1,3.6,0.222,6.97828,0.021935
7.1,3.58,0.22,7.5222,0.021847
7.1,3.56,0.219,8.05894,0.021784
7.1,3.54,0.218,8.64872,0.021729
7.1,3.52,0.217,9.27189,0.021678
7.1,3.5,0.216,9.92866,0.021635
7.1,3.48,0.215,10.60793,0.021602
7.1,3.46,0.215,11.33326,0.021572
7.1,3.44,0.214,12.11082,0.021547
7.1,3.42,0.214,12.95433,0.021523
7.1,3.4,0.213,13.88145,0.021501
7.2,4.9,0.522,2.1E-4,0.030504
7.2,4.88,0.515,2.6E-4,0.030624
7.2,4.86,0.509,3.1E-4,0.030612
7.2,4.84,0.503,3.7E-4,0.030518
7.2,4.82,0.497,4.2E-4,0.030367
7.2,4.8,0.491,4.7E-4,0.030164
7.2,4.78,0.485,5.1E-4,0.029884
7.2,4.76,0.479,5.4E-4,0.02951
7.2,4.74,0.472,5.7E-4,0.029113
7.2,4.72,0.465,6.1E-4,0.028705
7.2,4.7,0.457,6.7E-4,0.028292
7.2,4.68,0.45,7.8E-4,0.027891
7.2,4.66,0.447,9.0E-4,0.027885
7.2,4.64,0.444,0.001,0.027859
7.2,4.62,0.442,0.00106,0.027808
7.2,4.6,0.44,0.0011,0.027728
7.2,4.58,0.438,0.00111,0.027609
7.2,4.56,0.436,0.00118,0.027465
7.2,4.54,0.42,0.00154,0.026926
7.2,4.52,0.404,0.00216,0.026404
7.2,4.5,0.389,0.00408,0.025933
7.2,4.48,0.383,0.0049,0.025729
7.2,4.46,0.378,0.00511,0.025583
7.2,4.44,0.374,0.00498,0.025456
7.2,4.42,0.371,0.00452,0.025339
7.2,4.4,0.368,0.00367,0.025226
7.2,4.38,0.365,0.00245,0.025117
7.2,4.36,0.362,0.00149,0.025022
7.2,4.34,0.36,0.00534,0.024953
7.2,4.32,0.356,0.013,0.024852
7.2,4.3,0.353,0.02344,0.024734
7.2,4.28,0.349,0.03586,0.024609
7.2,4.26,0.343,0.0651,0.024399
7.2,4.24,0.339,0.08574,0.02426
7.2,4.22,0.336,0.10608,0.024132
7.2,4.2,0.333,0.12801,0.024005
7.2,4.18,0.329,0.15224,0.023878
7.2,4.16,0.326,0.1796,0.02375
7.2,4.14,0.323,0.21156,0.02362
7.2,4.12,0.319,0.24238,0.023474
7.2,4.1,0.315,0.26842,0.023331
7.2,4.08,0.312,0.30371,0.02321
7.2,4.06,0.308,0.34764,0.023098
7.2,4.04,0.306,0.39915,0.02299
7.2,4.02,0.303,0.45579,0.02288
7.2,4.0,0.3,0.51684,0.022767
7.2,3.98,0.297,0.58434,0.02266
7.2,3.96,0.294,0.65627,0.022545
7.2,3.94,0.291,0.73424,0.022433
7.2,3.92,0.288,0.81784,0.022324
7.2,3.9,0.286,0.90658,0.022217
7.2,3.88,0.283,0.99909,0.022114
7.2,3.86,0.28,1.11098,0.022011
7.2,3.84,0.278,1.17723,0.021912
7.2,3.82,0.275,1.25583,0.021814
7.2,3.8,0.273,1.33913,0.021716
7.2,3.78,0.27,1.44581,0.021623
7.2,3.76,0.269,1.74052,0.021558
7.2,3.74,0.267,2.10092,0.021481
7.2,3.72,0.264,2.51292,0.02138
7.2,3.7,0.261,3.08879,0.021248
7.2,3.68,0.257,3.83991,0.021096
7.2,3.66,0.254,4.76705,0.020952
7.2,3.64,0.251,5.77266,0.020829
7.2,3.62,0.249,6.75874,0.02073
7.2,3.6,0.247,7.6855,0.020653
7.2,3.58,0.245,8.56039,0.020592
7.2,3.56,0.244,9.38897,0.020545
7.2,3.54,0.243,10.24427,0.020504
7.2,3.52,0.242,11.0731,0.020472
7.2,3.5,0.242,11.91078,0.020445
7.2,3.48,0.241,12.77975,0.020422
7.2,3.46,0.241,13.67976,0.020402
7.2,3.44,0.24,14.64336,0.020384
7.2,3.42,0.24,15.66278,0.020367
7.2,3.4,0.24,16.7547,0.020352
7.3,4.9,0.537,2.1E-4,0.027312
7.3,4.88,0.529,3.1E-4,0.026977
7.3,4.86,0.523,3.9E-4,0.027106
7.3,4.84,0.517,4.7E-4,0.027204
7.3,4.82,0.511,5.5E-4,0.027219
7.3,4.8,0.506,6.3E-4,0.027168
7.3,4.78,0.5,7.2E-4,0.027038
7.3,4.76,0.494,7.9E-4,0.026819
7.3,4.74,0.488,8.7E-4,0.026562
7.3,4.72,0.482,9.6E-4,0.026282
7.3,4.7,0.475,0.00107,0.025984
7.3,4.68,0.469,0.00122,0.025681
7.3,4.66,0.462,0.00142,0.025375
7.3,4.64,0.455,0.00167,0.025072
7.3,4.62,0.449,0.00196,0.024866
7.3,4.6,0.447,0.00219,0.024877
7.3,4.58,0.445,0.00241,0.024855
7.3,4.56,0.443,0.00267,0.024804
7.3,4.54,0.441,0.0031,0.024728
7.3,4.52,0.439,0.00417,0.024614
7.3,4.5,0.428,0.00977,0.024232
7.3,4.48,0.417,0.013,0.023941
7.3,4.46,0.41,0.01528,0.023767
7.3,4.44,0.405,0.01737,0.023629
7.3,4.42,0.401,0.01939,0.02351
7.3,4.4,0.397,0.0214,0.023402
7.3,4.38,0.393,0.02346,0.023301
7.3,4.36,0.39,0.02583,0.023209
7.3,4.34,0.387,0.03019,0.023111
7.3,4.32,0.383,0.03716,0.022979
7.3,4.3,0.378,0.04719,0.022815
7.3,4.28,0.373,0.05944,0.022646
7.3,4.26,0.368,0.07178,0.022493
7.3,4.24,0.364,0.0843,0.02235
7.3,4.22,0.36,0.10242,0.022245
7.3,4.2,0.357,0.1248,0.022155
7.3,4.18,0.354,0.15008,0.022063
7.3,4.16,0.351,0.17893,0.021971
7.3,4.14,0.348,0.21229,0.021877
7.3,4.12,0.345,0.25152,0.021781
7.3,4.1,0.342,0.29829,0.021683
7.3,4.08,0.339,0.35454,0.021583
7.3,4.06,0.336,0.42277,0.021483
7.3,4.04,0.333,0.50489,0.021383
7.3,4.02,0.33,0.60145,0.021287
7.3,4.0,0.327,0.71474,0.021193
7.3,3.98,0.324,0.84708,0.021104
7.3,3.96,0.322,1.00364,0.021018
7.3,3.94,0.319,1.16469,0.02094
7.3,3.92,0.317,1.32388,0.020868
7.3,3.9,0.315,1.50338,0.020798
7.3,3.88,0.313,1.70438,0.020729
7.3,3.86,0.311,2.00101,0.020657
7.3,3.84,0.309,2.12689,0.020594
7.3,3.82,0.307,2.29714,0.020524
7.3,3.8,0.305,2.48863,0.020453
7.3,3.78,0.303,2.67758,0.020379
7.3,3.76,0.3,2.86787,0.020298
7.3,3.74,0.298,3.03479,0.020201
7.3,3.72,0.294,3.01897,0.020082
7.3,3.7,0.29,3.17314,0.01993
7.3,3.68,0.285,3.45386,0.019765
7.3,3.66,0.281,3.95546,0.019616
7.3,3.64,0.277,4.60663,0.019496
7.3,3.62,0.274,5.31233,0.019404
7.3,3.6,0.272,6.02981,0.019335
7.3,3.58,0.271,6.75732,0.019281
7.3,3.56,0.27,7.62963,0.01925
7.3,3.54,0.269,8.51004,0.019224
7.3,3.52,0.269,9.38972,0.019204
7.3,3.5,0.268,10.28517,0.019186
7.3,3.48,0.268,11.22527,0.019171
7.3,3.46,0.267,12.19957,0.019157
7.3,3.44,0.267,13.24513,0.019145
7.3,3.42,0.267,14.36153,0.019134
7.3,3.4,0.266,15.52994,0.019123
7.4,4.9,0.554,2.0E-4,0.02482
7.4,4.88,0.548,2.8E-4,0.024621
7.4,4.86,0.541,4.0E-4,0.024395
7.4,4.84,0.533,5.3E-4,0.024146
7.4,4.82,0.526,6.8E-4,0.024071
7.4,4.8,0.52,8.0E-4,0.024171
7.4,4.78,0.515,9.2E-4,0.024192
7.4,4.76,0.51,0.00104,0.024128
7.4,4.74,0.504,0.00117,0.024012
7.4,4.72,0.499,0.00131,0.023858
7.4,4.7,0.493,0.00147,0.023676
7.4,4.68,0.487,0.00167,0.023477
7.4,4.66,0.482,0.00191,0.023267
7.4,4.64,0.476,0.00221,0.02305
7.4,4.62,0.47,0.00257,0.022835
7.4,4.6,0.464,0.00299,0.022631
7.4,4.58,0.458,0.00348,0.022439
7.4,4.56,0.453,0.00406,0.02226
7.4,4.54,0.449,0.00467,0.022157
7.4,4.52,0.448,0.00539,0.022144
7.4,4.5,0.445,0.00812,0.022068
7.4,4.48,0.442,0.0131,0.02198
7.4,4.46,0.439,0.01987,0.021891
7.4,4.44,0.436,0.02905,0.021798
7.4,4.42,0.43,0.03426,0.021682
7.4,4.4,0.426,0.03912,0.021578
7.4,4.38,0.421,0.04447,0.021485
7.4,4.36,0.418,0.05049,0.021402
7.4,4.34,0.414,0.05809,0.02132
7.4,4.32,0.41,0.06788,0.021224
7.4,4.3,0.406,0.08027,0.021112
7.4,4.28,0.402,0.09494,0.020996
7.4,4.26,0.398,0.11072,0.020887
7.4,4.24,0.394,0.12767,0.020781
7.4,4.22,0.391,0.14624,0.020678
7.4,4.2,0.387,0.16701,0.020576
7.4,4.18,0.384,0.1905,0.020475
7.4,4.16,0.38,0.21716,0.020373
7.4,4.14,0.376,0.24749,0.020274
7.4,4.12,0.373,0.28201,0.020176
7.4,4.1,0.37,0.32092,0.020081
7.4,4.08,0.366,0.36459,0.01999
7.4,4.06,0.363,0.41377,0.0199
7.4,4.04,0.36,0.48164,0.01983
7.4,4.02,0.358,0.56318,0.019764
7.4,4.0,0.356,0.65651,0.019701
7.4,3.98,0.354,0.76311,0.019642
7.4,3.96,0.351,0.88699,0.019582
7.4,3.94,0.349,1.03026,0.019525
7.4,3.92,0.347,1.19568,0.01947
7.4,3.9,0.346,1.38698,0.019417
7.4,3.88,0.344,1.60859,0.019367
7.4,3.86,0.342,1.91231,0.019316
7.4,3.84,0.34,2.13143,0.019272
7.4,3.82,0.339,2.39976,0.019224
7.4,3.8,0.337,2.70758,0.019174
7.4,3.78,0.335,3.03958,0.019123
7.4,3.76,0.333,3.40781,0.019065
7.4,3.74,0.331,3.75993,0.018997
7.4,3.72,0.328,3.93791,0.018917
7.4,3.7,0.324,4.40127,0.018812
7.4,3.68,0.321,5.06651,0.018699
7.4,3.66,0.317,5.76676,0.018586
7.4,3.64,0.314,6.61333,0.018493
7.4,3.62,0.312,7.49986,0.018421
7.4,3.6,0.31,8.38578,0.018366
7.4,3.58,0.308,9.26135,0.018324
7.4,3.56,0.307,10.14698,0.018291
7.4,3.54,0.306,11.03679,0.018264
7.4,3.52,0.306,11.93846,0.018243
7.4,3.5,0.305,12.87089,0.018224
7.4,3.48,0.305,13.858,0.018208
7.4,3.46,0.304,14.88724,0.018194
7.4,3.44,0.304,15.9859,0.018181
7.4,3.42,0.303,17.14411,0.018169
7.4,3.4,0.303,18.35752,0.018159
7.5,4.9,0.571,1.8E-4,0.022328
7.5,4.88,0.566,2.6E-4,0.022265
7.5,4.86,0.56,3.7E-4,0.022161
7.5,4.84,0.554,5.0E-4,0.022025
7.5,4.82,0.547,6.6E-4,0.02186
7.5,4.8,0.539,8.5E-4,0.021672
7.5,4.78,0.531,0.00109,0.02147
7.5,4.76,0.525,0.00129,0.021438
7.5,4.74,0.52,0.00147,0.021462
7.5,4.72,0.516,0.00166,0.021435
7.5,4.7,0.511,0.00187,0.021368
7.5,4.68,0.506,0.00211,0.021273
7.5,4.66,0.501,0.0024,0.021158
7.5,4.64,0.497,0.00274,0.021029
7.5,4.62,0.492,0.00314,0.020893
7.5,4.6,0.487,0.00361,0.020757
7.5,4.58,0.482,0.00416,0.020626
7.5,4.56,0.478,0.00479,0.020499
7.5,4.54,0.473,0.00552,0.020384
7.5,4.52,0.47,0.00636,0.020278
7.5,4.5,0.466,0.00733,0.02017
7.5,4.48,0.462,0.00843,0.020059
7.5,4.46,0.458,0.00968,0.019953
7.5,4.44,0.454,0.01109,0.01985
7.5,4.42,0.45,0.01269,0.01975
7.5,4.4,0.448,0.01928,0.019703
7.5,4.38,0.445,0.02885,0.019654
7.5,4.36,0.443,0.04216,0.019598
7.5,4.34,0.44,0.0603,0.019539
7.5,4.32,0.438,0.0845,0.019475
7.5,4.3,0.435,0.11335,0.01941
7.5,4.28,0.431,0.13043,0.019346
7.5,4.26,0.428,0.14965,0.01928
7.5,4.24,0.425,0.17104,0.019213
7.5,4.22,0.422,0.19503,0.019145
7.5,4.2,0.419,0.22234,0.019076
7.5,4.18,0.416,0.25369,0.019007
7.5,4.16,0.413,0.28964,0.018937
7.5,4.14,0.41,0.33075,0.018867
7.5,4.12,0.407,0.37771,0.018798
7.5,4.1,0.404,0.43056,0.01873
7.5,4.08,0.402,0.48947,0.018664
7.5,4.06,0.399,0.55521,0.018599
7.5,4.04,0.396,0.62827,0.018533
7.5,4.02,0.394,0.70922,0.018468
7.5,4.0,0.391,0.79918,0.018408
7.5,3.98,0.389,0.8991,0.018354
7.5,3.96,0.387,1.00913,0.018298
7.5,3.94,0.384,1.13047,0.018245
7.5,3.92,0.382,1.26354,0.018195
7.5,3.9,0.38,1.40851,0.018147
7.5,3.88,0.378,1.56555,0.018101
7.5,3.86,0.377,1.73175,0.018056
7.5,3.84,0.375,1.91118,0.018012
7.5,3.82,0.373,2.10814,0.017968
7.5,3.8,0.371,2.32554,0.017924
7.5,3.78,0.369,2.56534,0.017878
7.5,3.76,0.367,2.82324,0.017826
7.5,3.74,0.364,2.98341,0.017767
7.5,3.72,0.361,3.33121,0.017696
7.5,3.7,0.359,3.86503,0.017624
7.5,3.68,0.355,4.66059,0.017547
7.5,3.66,0.353,5.70678,0.017476
7.5,3.64,0.35,6.8583,0.017417
7.5,3.62,0.348,8.00826,0.017371
7.5,3.6,0.347,9.11707,0.017335
7.5,3.58,0.346,10.19034,0.017307
7.5,3.56,0.345,11.25402,0.017285
7.5,3.54,0.344,12.29895,0.017267
7.5,3.52,0.344,13.3483,0.017253
7.5,3.5,0.343,14.42903,0.01724
7.5,3.48,0.343,15.55055,0.017229
7.5,3.46,0.343,16.71536,0.017219
7.5,3.44,0.342,17.92954,0.01721
7.5,3.42,0.342,19.18765,0.017202
7.5,3.4,0.342,20.49735,0.017195
7.6,4.9,0.596,1.9E-4,0.020376
7.6,4.88,0.589,2.6E-4,0.020219
7.6,4.86,0.582,3.5E-4,0.020054
7.6,4.84,0.575,4.6E-4,0.019903
7.6,4.82,0.57,6.0E-4,0.019842
7.6,4.8,0.563,7.8E-4,0.019752
7.6,4.78,0.557,9.9E-4,0.019638
7.6,4.76,0.55,0.00124,0.019511
7.6,4.74,0.543,0.00152,0.019374
7.6,4.72,0.536,0.00186,0.019231
7.6,4.7,0.529,0.00225,0.019089
7.6,4.68,0.525,0.00256,0.019069
7.6,4.66,0.521,0.00289,0.019049
7.6,4.64,0.517,0.00328,0.019007
7.6,4.62,0.513,0.00372,0.01895
7.6,4.6,0.51,0.00423,0.018884
7.6,4.58,0.506,0.00483,0.018812
7.6,4.56,0.502,0.00553,0.018739
7.6,4.54,0.498,0.00633,0.018668
7.6,4.52,0.495,0.00726,0.018599
7.6,4.5,0.492,0.00834,0.018528
7.6,4.48,0.488,0.00961,0.018454
7.6,4.46,0.485,0.01106,0.018381
7.6,4.44,0.482,0.01276,0.018309
7.6,4.42,0.479,0.01476,0.018238
7.6,4.4,0.476,0.0171,0.01817
7.6,4.38,0.473,0.01985,0.018104
7.6,4.36,0.47,0.02312,0.01804
7.6,4.34,0.467,0.02698,0.017977
7.6,4.32,0.464,0.03155,0.017916
7.6,4.3,0.462,0.03696,0.017857
7.6,4.28,0.459,0.04342,0.017799
7.6,4.26,0.457,0.05118,0.017741
7.6,4.24,0.454,0.06043,0.017685
7.6,4.22,0.451,0.07135,0.01763
7.6,4.2,0.449,0.09415,0.017582
7.6,4.18,0.447,0.13872,0.017542
7.6,4.16,0.445,0.194,0.017502
7.6,4.14,0.443,0.2621,0.017461
