logg,logT,mass,tau,R
8.3,4.9,0.861,3.2E-4,0.010886
8.3,4.88,0.857,3.7E-4,0.010861
8.3,4.86,0.854,4.4E-4,0.010838
8.3,4.84,0.85,5.1E-4,0.010815
8.3,4.82,0.847,6.0E-4,0.010792
8.3,4.8,0.844,6.9E-4,0.01077
8.3,4.78,0.841,8.0E-4,0.010749
8.3,4.76,0.838,9.3E-4,0.010728
8.3,4.74,0.835,0.00108,0.010708
8.3,4.72,0.832,0.00126,0.01069
8.3,4.7,0.83,0.00147,0.010679
8.3,4.68,0.827,0.00171,0.010667
8.3,4.66,0.825,0.00201,0.010655
8.3,4.64,0.823,0.00237,0.010643
8.3,4.62,0.82,0.00281,0.010631
8.3,4.6,0.818,0.00336,0.010619
8.3,4.58,0.816,0.00409,0.010607
8.3,4.56,0.814,0.00508,0.010594
8.3,4.54,0.812,0.0065,0.010582
8.3,4.52,0.81,0.00862,0.01057
8.3,4.5,0.808,0.01187,0.010557
8.3,4.48,0.806,0.01672,0.010545
8.3,4.46,0.804,0.02333,0.010533
8.3,4.44,0.802,0.03173,0.010521
8.3,4.42,0.801,0.0418,0.01051
8.3,4.4,0.799,0.05357,0.010499
8.3,4.38,0.797,0.06709,0.010488
8.3,4.36,0.796,0.08251,0.010478
8.3,4.34,0.794,0.09996,0.010468
8.3,4.32,0.793,0.11957,0.010458
8.3,4.3,0.792,0.14158,0.010449
8.3,4.28,0.79,0.16632,0.01044
8.3,4.26,0.789,0.19401,0.010432
8.3,4.24,0.788,0.22493,0.010424
8.3,4.22,0.787,0.25947,0.010416
8.3,4.2,0.786,0.29808,0.010409
8.3,4.18,0.785,0.34124,0.010402
8.3,4.16,0.784,0.38959,0.010395
8.3,4.14,0.783,0.44376,0.010388
8.3,4.12,0.782,0.5044,0.010382
8.3,4.1,0.781,0.57226,0.010376
8.3,4.08,0.78,0.64821,0.01037
8.3,4.06,0.779,0.73318,0.010364
8.3,4.04,0.779,0.82835,0.010359
8.3,4.02,0.778,0.93514,0.010353
8.3,4.0,0.777,1.05516,0.010348
8.3,3.98,0.776,1.18958,0.010344
8.3,3.96,0.776,1.34014,0.010339
8.3,3.94,0.775,1.53131,0.010334
8.3,3.92,0.774,1.77988,0.01033
8.3,3.9,0.774,2.06677,0.010326
8.3,3.88,0.773,2.37484,0.010321
8.3,3.86,0.773,2.72219,0.010317
8.3,3.84,0.772,3.09677,0.010313
8.3,3.82,0.771,3.51328,0.010308
8.3,3.8,0.771,3.9646,0.010304
8.3,3.78,0.77,4.5172,0.010298
8.3,3.76,0.769,5.23243,0.010292
8.3,3.74,0.768,6.13755,0.010285
8.3,3.72,0.767,7.27835,0.010277
8.3,3.7,0.766,8.52546,0.01027
8.3,3.68,0.765,9.7241,0.010265
8.3,3.66,0.765,10.82861,0.01026
8.3,3.64,0.764,11.77178,0.010257
8.3,3.62,0.764,12.5541,0.010255
8.3,3.6,0.764,13.22609,0.010253
8.3,3.58,0.764,13.81547,0.010251
8.3,3.56,0.763,14.34566,0.01025
8.3,3.54,0.763,14.83391,0.010249
8.3,3.52,0.763,15.28726,0.010248
8.3,3.5,0.763,15.72964,0.010247
8.3,3.48,0.763,16.16312,0.010246
8.3,3.46,0.763,16.59075,0.010245
8.3,3.44,0.763,17.01035,0.010245
8.3,3.42,0.763,17.41967,0.010244
8.3,3.4,0.763,17.82417,0.010243
8.4,4.9,0.913,3.7E-4,0.009985
8.4,4.88,0.91,4.2E-4,0.009966
8.4,4.86,0.907,4.9E-4,0.009948
8.4,4.84,0.904,5.6E-4,0.00993
8.4,4.82,0.901,6.5E-4,0.009913
8.4,4.8,0.898,7.4E-4,0.009899
8.4,4.78,0.896,8.5E-4,0.009886
8.4,4.76,0.893,9.8E-4,0.009873
8.4,4.74,0.891,0.00113,0.009861
8.4,4.72,0.888,0.00131,0.009848
8.4,4.7,0.886,0.00152,0.009836
8.4,4.68,0.884,0.00178,0.009824
8.4,4.66,0.882,0.0021,0.009812
8.4,4.64,0.88,0.0025,0.009801
8.4,4.62,0.878,0.00304,0.00979
8.4,4.6,0.876,0.00376,0.009779
8.4,4.58,0.874,0.0048,0.009768
8.4,4.56,0.872,0.00637,0.009758
8.4,4.54,0.87,0.00884,0.009747
8.4,4.52,0.868,0.01259,0.009737
8.4,4.5,0.866,0.01787,0.009726
8.4,4.48,0.864,0.02485,0.009716
8.4,4.46,0.863,0.03345,0.009706
8.4,4.44,0.861,0.04387,0.009697
8.4,4.42,0.86,0.05609,0.009688
8.4,4.4,0.858,0.07018,0.009679
8.4,4.38,0.857,0.08614,0.009671
8.4,4.36,0.855,0.10402,0.009663
8.4,4.34,0.854,0.12392,0.009656
8.4,4.32,0.853,0.1462,0.009649
8.4,4.3,0.852,0.17116,0.009642
8.4,4.28,0.851,0.19913,0.009636
8.4,4.26,0.85,0.23033,0.00963
8.4,4.24,0.849,0.26497,0.009624
8.4,4.22,0.848,0.30375,0.009619
8.4,4.2,0.847,0.34731,0.009613
8.4,4.18,0.846,0.39627,0.009608
8.4,4.16,0.845,0.45127,0.009604
8.4,4.14,0.844,0.51273,0.009599
8.4,4.12,0.844,0.58153,0.009595
8.4,4.1,0.843,0.65873,0.00959
8.4,4.08,0.842,0.74538,0.009586
8.4,4.06,0.841,0.84263,0.009582
8.4,4.04,0.841,0.95155,0.009578
8.4,4.02,0.84,1.0737,0.009574
8.4,4.0,0.84,1.21364,0.009571
8.4,3.98,0.839,1.37351,0.009567
8.4,3.96,0.838,1.55223,0.009564
8.4,3.94,0.838,1.78265,0.009561
8.4,3.92,0.837,2.08611,0.009557
8.4,3.9,0.837,2.43788,0.009554
8.4,3.88,0.836,2.81321,0.009551
8.4,3.86,0.836,3.23611,0.009549
8.4,3.84,0.835,3.68913,0.009546
8.4,3.82,0.835,4.19003,0.009543
8.4,3.8,0.834,4.72218,0.009539
8.4,3.78,0.834,5.34196,0.009535
8.4,3.76,0.833,6.13748,0.009531
8.4,3.74,0.832,7.16725,0.009527
8.4,3.72,0.831,8.40434,0.009522
8.4,3.7,0.831,9.65071,0.009519
8.4,3.68,0.83,10.74924,0.009516
8.4,3.66,0.83,11.67687,0.009513
8.4,3.64,0.829,12.48891,0.009512
8.4,3.62,0.829,13.15687,0.00951
8.4,3.6,0.829,13.73383,0.009509
8.4,3.58,0.829,14.24249,0.009508
8.4,3.56,0.829,14.7055,0.009508
8.4,3.54,0.828,15.11608,0.009507
8.4,3.52,0.828,15.49615,0.009507
8.4,3.5,0.828,15.86443,0.009506
8.4,3.48,0.828,16.23222,0.009505
8.4,3.46,0.828,16.59969,0.009505
8.4,3.44,0.828,16.9667,0.009504
8.4,3.42,0.828,17.33309,0.009503
8.4,3.4,0.828,17.6992,0.009503
8.5,4.9,0.967,3.9E-4,0.00916
8.5,4.88,0.965,4.4E-4,0.009146
8.5,4.86,0.962,5.1E-4,0.009133
8.5,4.84,0.959,5.8E-4,0.00912
8.5,4.82,0.957,6.6E-4,0.009108
8.5,4.8,0.955,7.6E-4,0.009096
8.5,4.78,0.952,8.7E-4,0.009084
8.5,4.76,0.95,0.00101,0.009073
8.5,4.74,0.948,0.00116,0.009064
8.5,4.72,0.946,0.00136,0.009054
8.5,4.7,0.944,0.00159,0.009045
8.5,4.68,0.942,0.00189,0.009036
8.5,4.66,0.94,0.00229,0.009028
8.5,4.64,0.938,0.00284,0.009019
8.5,4.62,0.937,0.00362,0.009011
8.5,4.6,0.935,0.00484,0.009003
8.5,4.58,0.933,0.00686,0.008994
8.5,4.56,0.931,0.01014,0.008986
8.5,4.54,0.929,0.01501,0.008978
8.5,4.52,0.928,0.0215,0.008969
8.5,4.5,0.926,0.02958,0.008962
8.5,4.48,0.925,0.0393,0.008954
8.5,4.46,0.923,0.05044,0.008947
8.5,4.44,0.922,0.06322,0.008941
8.5,4.42,0.921,0.07769,0.008934
8.5,4.4,0.919,0.0939,0.008928
8.5,4.38,0.918,0.11211,0.008922
8.5,4.36,0.917,0.13236,0.008917
8.5,4.34,0.916,0.15472,0.008912
8.5,4.32,0.915,0.1799,0.008907
8.5,4.3,0.914,0.20812,0.008902
8.5,4.28,0.913,0.23958,0.008897
8.5,4.26,0.912,0.27464,0.008893
8.5,4.24,0.911,0.31329,0.008888
8.5,4.22,0.911,0.35659,0.008884
8.5,4.2,0.91,0.40532,0.008881
8.5,4.18,0.909,0.45985,0.008877
8.5,4.16,0.908,0.52102,0.008873
8.5,4.14,0.908,0.58809,0.00887
8.5,4.12,0.907,0.6624,0.008867
8.5,4.1,0.907,0.74576,0.008864
8.5,4.08,0.906,0.8387,0.00886
8.5,4.06,0.905,0.94312,0.008857
8.5,4.04,0.905,1.05987,0.008854
8.5,4.02,0.904,1.1882,0.008852
8.5,4.0,0.904,1.35027,0.008849
8.5,3.98,0.903,1.56091,0.008847
8.5,3.96,0.903,1.8019,0.008844
8.5,3.94,0.902,2.07328,0.008842
8.5,3.92,0.902,2.34474,0.008839
8.5,3.9,0.901,2.63899,0.008837
8.5,3.88,0.901,2.9601,0.008835
8.5,3.86,0.9,3.31651,0.008832
8.5,3.84,0.9,3.72995,0.00883
8.5,3.82,0.9,4.2073,0.008828
8.5,3.8,0.899,4.76394,0.008826
8.5,3.78,0.898,5.34763,0.008823
8.5,3.76,0.898,6.06353,0.00882
8.5,3.74,0.897,7.04083,0.008817
8.5,3.72,0.896,8.19552,0.008813
8.5,3.7,0.896,9.29775,0.008811
8.5,3.68,0.895,10.28209,0.008809
8.5,3.66,0.895,11.1064,0.008807
8.5,3.64,0.895,11.80504,0.008806
8.5,3.62,0.895,12.37624,0.008805
8.5,3.6,0.894,12.85567,0.008804
8.5,3.58,0.894,13.27605,0.008804
8.5,3.56,0.894,13.64966,0.008803
8.5,3.54,0.894,13.98307,0.008803
8.5,3.52,0.894,14.28577,0.008803
8.5,3.5,0.894,14.55102,0.008802
8.5,3.48,0.894,14.79172,0.008802
8.5,3.46,0.894,15.01533,0.008802
8.5,3.44,0.894,15.22392,0.008802
8.5,3.42,0.894,15.41457,0.008801
8.5,3.4,0.894,15.59309,0.008801
8.6,4.9,1.021,3.9E-4,0.008387
8.6,4.88,1.018,4.4E-4,0.008377
8.6,4.86,1.016,5.1E-4,0.008368
8.6,4.84,1.014,5.8E-4,0.008358
8.6,4.82,1.012,6.6E-4,0.008349
8.6,4.8,1.01,7.6E-4,0.008341
8.6,4.78,1.008,8.8E-4,0.008333
8.6,4.76,1.006,0.00103,0.008325
8.6,4.74,1.005,0.0012,0.008317
8.6,4.72,1.003,0.00143,0.008309
8.6,4.7,1.001,0.00173,0.008301
8.6,4.68,1.0,0.00214,0.008294
8.6,4.66,0.998,0.00273,0.008288
8.6,4.64,0.996,0.00369,0.008282
8.6,4.62,0.995,0.00538,0.008275
8.6,4.6,0.993,0.00836,0.008269
8.6,4.58,0.991,0.013,0.008262
8.6,4.56,0.99,0.01914,0.008256
8.6,4.54,0.988,0.02667,0.00825
8.6,4.52,0.987,0.03562,0.008245
8.6,4.5,0.986,0.04598,0.008239
8.6,4.48,0.984,0.05781,0.008234
8.6,4.46,0.983,0.07119,0.008229
8.6,4.44,0.982,0.08606,0.008224
8.6,4.42,0.981,0.10274,0.00822
8.6,4.4,0.98,0.12135,0.008216
8.6,4.38,0.979,0.14221,0.008212
8.6,4.36,0.978,0.16569,0.008208
8.6,4.34,0.977,0.1917,0.008204
8.6,4.32,0.976,0.22057,0.0082
8.6,4.3,0.975,0.25279,0.008197
8.6,4.28,0.975,0.28847,0.008194
8.6,4.26,0.974,0.32863,0.00819
8.6,4.24,0.973,0.37342,0.008187
8.6,4.22,0.973,0.42327,0.008185
8.6,4.2,0.972,0.47898,0.008182
8.6,4.18,0.971,0.54031,0.008179
8.6,4.16,0.971,0.60931,0.008177
8.6,4.14,0.97,0.68617,0.008175
8.6,4.12,0.97,0.77127,0.008172
8.6,4.1,0.969,0.86892,0.00817
8.6,4.08,0.969,0.98388,0.008168
8.6,4.06,0.968,1.11736,0.008166
8.6,4.04,0.968,1.28109,0.008163
8.6,4.02,0.967,1.47562,0.008161
8.6,4.0,0.967,1.69305,0.008159
8.6,3.98,0.966,1.91489,0.008158
8.6,3.96,0.966,2.16419,0.008156
8.6,3.94,0.965,2.43549,0.008154
8.6,3.92,0.965,2.73313,0.008152
8.6,3.9,0.965,3.06862,0.008151
8.6,3.88,0.964,3.44688,0.008149
8.6,3.86,0.964,3.86608,0.008148
8.6,3.84,0.964,4.32274,0.008146
8.6,3.82,0.963,4.80908,0.008144
8.6,3.8,0.963,5.34084,0.008142
8.6,3.78,0.962,5.91655,0.00814
8.6,3.76,0.962,6.63686,0.008138
8.6,3.74,0.961,7.58849,0.008135
8.6,3.72,0.961,8.64873,0.008133
8.6,3.7,0.96,9.6009,0.008131
8.6,3.68,0.96,10.46447,0.00813
8.6,3.66,0.96,11.14675,0.008129
8.6,3.64,0.959,11.70886,0.008128
8.6,3.62,0.959,12.18273,0.008127
8.6,3.6,0.959,12.56876,0.008127
8.6,3.58,0.959,12.90114,0.008126
8.6,3.56,0.959,13.18751,0.008126
8.6,3.54,0.959,13.43825,0.008126
8.6,3.52,0.959,13.66902,0.008125
8.6,3.5,0.959,13.87629,0.008125
8.6,3.48,0.959,14.06467,0.008125
8.6,3.46,0.959,14.23645,0.008125
8.6,3.44,0.959,14.39732,0.008125
8.6,3.42,0.959,14.54866,0.008125
8.6,3.4,0.959,14.69423,0.008125
8.7,4.9,1.062,3.5E-4,0.007571
8.7,4.88,1.06,4.0E-4,0.007564
8.7,4.86,1.059,4.5E-4,0.007557
8.7,4.84,1.058,5.0E-4,0.00755
8.7,4.82,1.056,5.7E-4,0.007544
8.7,4.8,1.055,6.4E-4,0.007537
8.7,4.78,1.054,7.2E-4,0.007531
8.7,4.76,1.053,8.0E-4,0.007526
8.7,4.74,1.052,8.5E-4,0.00752
8.7,4.72,1.051,7.6E-4,0.007515
8.7,4.7,1.05,7.0E-5,0.007509
8.7,4.68,1.049,-0.00198,0.007504
8.7,4.66,1.048,-0.0044,0.007498
8.7,4.64,1.047,-0.00486,0.007492
8.7,4.62,1.045,-0.00214,0.007485
8.7,4.6,1.049,0.0172,0.007572
8.7,4.58,1.047,0.02428,0.007568
8.7,4.56,1.046,0.03262,0.007564
8.7,4.54,1.045,0.04225,0.00756
8.7,4.52,1.044,0.05322,0.007556
8.7,4.5,1.043,0.0656,0.007552
8.7,4.48,1.042,0.0793,0.007548
8.7,4.46,1.041,0.09458,0.007545
8.7,4.44,1.04,0.11179,0.007542
8.7,4.42,1.039,0.13118,0.007539
8.7,4.4,1.038,0.15295,0.007536
8.7,4.38,1.037,0.17708,0.007533
8.7,4.36,1.036,0.20361,0.00753
8.7,4.34,1.036,0.23322,0.007527
8.7,4.32,1.035,0.26624,0.007525
8.7,4.3,1.034,0.30332,0.007523
8.7,4.28,1.034,0.34473,0.00752
8.7,4.26,1.033,0.39022,0.007518
8.7,4.24,1.032,0.44092,0.007516
8.7,4.22,1.032,0.49755,0.007514
8.7,4.2,1.031,0.56111,0.007512
8.7,4.18,1.031,0.63174,0.00751
8.7,4.16,1.03,0.71034,0.007509
8.7,4.14,1.03,0.80551,0.007507
8.7,4.12,1.029,0.92193,0.007506
8.7,4.1,1.029,1.05421,0.007504
8.7,4.08,1.029,1.21294,0.007502
8.7,4.06,1.028,1.38749,0.007501
8.7,4.04,1.028,1.57659,0.007499
8.7,4.02,1.027,1.77598,0.007498
8.7,4.0,1.027,1.99477,0.007496
8.7,3.98,1.027,2.23823,0.007495
8.7,3.96,1.026,2.51525,0.007494
8.7,3.94,1.026,2.82224,0.007493
8.7,3.92,1.026,3.16137,0.007491
8.7,3.9,1.025,3.5311,0.00749
8.7,3.88,1.025,3.92757,0.007489
8.7,3.86,1.025,4.34695,0.007488
8.7,3.84,1.024,4.78341,0.007487
8.7,3.82,1.024,5.24095,0.007486
8.7,3.8,1.024,5.73485,0.007484
8.7,3.78,1.023,6.29845,0.007483
8.7,3.76,1.023,7.02669,0.007481
8.7,3.74,1.022,7.92709,0.007479
8.7,3.72,1.022,8.85652,0.007478
8.7,3.7,1.022,9.65401,0.007477
8.7,3.68,1.021,10.36111,0.007476
8.7,3.66,1.021,10.92553,0.007475
8.7,3.64,1.021,11.35808,0.007475
8.7,3.62,1.021,11.72697,0.007474
8.7,3.6,1.021,12.01832,0.007474
8.7,3.58,1.021,12.26822,0.007473
8.7,3.56,1.021,12.48565,0.007473
8.7,3.54,1.021,12.67837,0.007473
8.7,3.52,1.021,12.86449,0.007473
8.7,3.5,1.021,13.04431,0.007473
8.7,3.48,1.02,13.22005,0.007473
8.7,3.46,1.02,13.39193,0.007473
8.7,3.44,1.02,13.56411,0.007473
8.7,3.42,1.02,13.7365,0.007473
8.7,3.4,1.02,13.90911,0.007473
8.8,4.9,1.108,3.3E-4,0.006941
8.8,4.88,1.106,3.7E-4,0.006936
8.8,4.86,1.105,4.2E-4,0.006932
8.8,4.84,1.104,4.8E-4,0.006927
8.8,4.82,1.103,5.5E-4,0.006923
8.8,4.8,1.102,6.4E-4,0.006918
8.8,4.78,1.1,7.5E-4,0.006914
8.8,4.76,1.099,8.8E-4,0.00691
8.8,4.74,1.098,0.00106,0.006906
8.8,4.72,1.097,0.0013,0.006902
8.8,4.7,1.096,0.00164,0.006898
8.8,4.68,1.095,0.00212,0.006894
8.8,4.66,1.094,0.00317,0.00689
8.8,4.64,1.093,0.00592,0.006885
8.8,4.62,1.092,0.01107,0.006881
8.8,4.6,1.091,0.01811,0.006876
8.8,4.58,1.09,0.02665,0.006873
8.8,4.56,1.089,0.03654,0.006869
8.8,4.54,1.088,0.04774,0.006866
8.8,4.52,1.088,0.06033,0.006863
8.8,4.5,1.087,0.07441,0.00686
8.8,4.48,1.086,0.09018,0.006857
8.8,4.46,1.086,0.10778,0.006855
8.8,4.44,1.085,0.12738,0.006852
8.8,4.42,1.084,0.14922,0.00685
8.8,4.4,1.084,0.17361,0.006848
8.8,4.38,1.083,0.20076,0.006846
8.8,4.36,1.083,0.23054,0.006844
8.8,4.34,1.082,0.26107,0.006842
8.8,4.32,1.082,0.29369,0.006841
8.8,4.3,1.082,0.33087,0.006839
8.8,4.28,1.082,0.38154,0.006839
8.8,4.26,1.081,0.45668,0.006836
8.8,4.24,1.081,0.53926,0.006833
8.8,4.22,1.08,0.62858,0.006831
8.8,4.2,1.079,0.72202,0.006829
8.8,4.18,1.079,0.82079,0.006827
8.8,4.16,1.079,0.92353,0.006825
8.8,4.14,1.078,1.03092,0.006824
8.8,4.12,1.078,1.14389,0.006822
8.8,4.1,1.077,1.2621,0.006821
8.8,4.08,1.077,1.38729,0.006819
8.8,4.06,1.077,1.52527,0.006818
8.8,4.04,1.076,1.67095,0.006816
8.8,4.02,1.076,1.82769,0.006815
8.8,4.0,1.076,1.98403,0.006814
8.8,3.98,1.076,2.14697,0.006813
8.8,3.96,1.075,2.32555,0.006812
8.8,3.94,1.075,2.52078,0.006812
8.8,3.92,1.075,2.73317,0.006811
8.8,3.9,1.075,2.9632,0.00681
8.8,3.88,1.075,3.21297,0.006809
8.8,3.86,1.075,3.48152,0.006809
8.8,3.84,1.074,3.76966,0.006808
8.8,3.82,1.074,4.0782,0.006807
8.8,3.8,1.074,4.40912,0.006806
8.8,3.78,1.074,4.78783,0.006805
8.8,3.76,1.073,5.29837,0.006804
8.8,3.74,1.073,5.94417,0.006803
8.8,3.72,1.073,6.59372,0.006802
8.8,3.7,1.073,7.14953,0.006802
8.8,3.68,1.073,7.60425,0.006801
8.8,3.66,1.073,7.96244,0.006801
8.8,3.64,1.072,8.22423,0.0068
8.8,3.62,1.072,8.45096,0.0068
8.8,3.6,1.072,8.63057,0.0068
8.8,3.58,1.072,8.78144,0.0068
8.8,3.56,1.072,8.90124,0.0068
8.8,3.54,1.072,9.00462,0.006799
8.8,3.52,1.072,9.08816,0.006799
8.8,3.5,1.072,9.15747,0.006799
8.8,3.48,1.072,9.22307,0.006798
8.8,3.46,1.072,9.28866,0.006796
8.8,3.44,1.072,9.35426,0.006795
8.8,3.42,1.072,9.41987,0.006794
8.8,3.4,1.072,9.48548,0.006792
8.9,4.9,1.153,3.1E-4,0.006311
8.9,4.88,1.152,3.5E-4,0.006309
8.9,4.86,1.151,4.0E-4,0.006306
8.9,4.84,1.15,4.6E-4,0.006304
8.9,4.82,1.149,5.4E-4,0.006301
8.9,4.8,1.148,6.4E-4,0.006299
8.9,4.78,1.147,7.7E-4,0.006297
8.9,4.76,1.146,9.7E-4,0.006294
8.9,4.74,1.145,0.00127,0.006292
8.9,4.72,1.144,0.00184,0.00629
8.9,4.7,1.143,0.00321,0.006287
8.9,4.68,1.142,0.00623,0.006284
8.9,4.66,1.141,0.01073,0.006282
8.9,4.64,1.14,0.0167,0.006279
8.9,4.62,1.139,0.02429,0.006276
8.9,4.6,1.138,0.03334,0.006274
8.9,4.58,1.137,0.04377,0.006272
8.9,4.56,1.136,0.05561,0.00627
8.9,4.54,1.135,0.06892,0.006268
8.9,4.52,1.135,0.08384,0.006266
8.9,4.5,1.134,0.10055,0.006264
8.9,4.48,1.133,0.11925,0.006263
8.9,4.46,1.133,0.14011,0.006261
8.9,4.44,1.132,0.16337,0.00626
8.9,4.42,1.132,0.18932,0.006258
8.9,4.4,1.131,0.21822,0.006257
8.9,4.38,1.131,0.25039,0.006256
8.9,4.36,1.131,0.28719,0.006255
8.9,4.34,1.13,0.33342,0.006253
8.9,4.32,1.13,0.38685,0.006252
8.9,4.3,1.129,0.44449,0.006251
8.9,4.28,1.129,0.50969,0.00625
8.9,4.26,1.128,0.58697,0.006248
8.9,4.24,1.128,0.66958,0.006247
8.9,4.22,1.127,0.75724,0.006245
8.9,4.2,1.127,0.84906,0.006244
8.9,4.18,1.126,0.9458,0.006243
